TOP.DesignIndex,TOP.Color,TOP.DesignCount,TOP.top_FPMult.FPMult.EnableDenormals,TOP.top_FPMult.FPMult.ExponentWidth,TOP.top_FPMult.FPMult.FractionWidth,TOP.top_FPMult.FPMult.Mult.Designware_MODE,TOP.top_FPMult.FPMult.Mult.MultP.Designware_MODE,TOP.top_FPMult.FPMult.Mult.PartialProductSum.AdderType,STAT_Comp_Good,STAT_Mapped_Timing_Good,STAT_Optimized_Timing_Good,STAT_Pareto,STAT_Routed_Timing_Good,STAT_Run_Good,STAT_Synthesis_Good,STAT_Timing_Good,INFO_Comb_Cell_Count,INFO_DESIGN,INFO_DESIGN_NAME,INFO_EvalTime,INFO_GenTime,INFO_IO2CORE,INFO_Mapped_Comb_Cell_Count,INFO_Mapped_Seq_Cell_Count,INFO_Optimized_Comb_Cell_Count,INFO_Optimized_Seq_Cell_Count,INFO_Routed_Comb_Cell_Count,INFO_Routed_Seq_Cell_Count,INFO_Seq_Cell_Count,INFO_Suggest_Delay,INFO_TARGET,INFO_TARGET_DELAY,INFO_TARGET_VOLTAGE,INFO_TotalRunTime,INFO_VT,COST_Area,COST_Delay,COST_Dyn_Energy,COST_Leak_Power,COST_Mapped_Area,COST_Mapped_Delay,COST_Mapped_Dyn_Energy,COST_Mapped_Leak_Power,COST_Optimized_Area,COST_Optimized_Delay,COST_Optimized_Dyn_Energy,COST_Optimized_Leak_Power,COST_Routed_Area,COST_Routed_Delay,COST_Routed_Dyn_Energy,COST_Routed_Leak_Power,
1 , 0.375 , 3 , YES , 5 , 10 , OFF , OFF , Sklansky , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 907 , FPMult_unq1 , FPMult , 379 , 35 , 30 , 915 , 0 , 907 , 0 , 910 , 0 , 0 , 2.86 , 1 , 3.03203880454751 , 0.9 , 414 , svt , 0.001314 , 2.86 , 0.4339333 , 0.0315494 , 0.001247324397 , 1.91 , 0.3764332 , 0.0398016 , 0.001314 , 2.86 , 0.4339333 , 0.0315494 , 0.001314 , 3.03 , 0.4320751 , 0.0312065 , 
1 , 0.375 , 3 , YES , 5 , 10 , OFF , OFF , Sklansky , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1244 , FPMult_unq1 , FPMult , 393 , 34 , 30 , 1274 , 0 , 1244 , 0 , 1096 , 0 , 0 , 2.96 , 1 , 3.0497725832624 , 0.9 , 427 , svt , 0.001426 , 2.96 , 0.2964072 , 0.0239985 , 0.001374508809 , 2.31 , 0.371521 , 0.036581 , 0.001426 , 2.96 , 0.2964072 , 0.0239985 , 0.001345 , 3.01 , 0.2894306 , 0.0229278 , 
1 , 0.375 , 3 , YES , 5 , 10 , OFF , OFF , Sklansky , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1257 , FPMult_unq1 , FPMult , 404 , 33 , 30 , 1284 , 0 , 1257 , 0 , 1104 , 0 , 0 , 2.99 , 1 , 3.01466826790491 , 0.9 , 437 , svt , 0.001432 , 2.99 , 0.3036709 , 0.0239973 , 0.001375567209 , 2.29 , 0.373796 , 0.0368874 , 0.001432 , 2.99 , 0.3036709 , 0.0239973 , 0.001345 , 2.92 , 0.296931 , 0.0231579 , 
1 , 0.375 , 3 , YES , 5 , 10 , OFF , OFF , Sklansky , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 888 , FPMult_unq1 , FPMult , 393 , 33 , 30 , 888 , 0 , 888 , 0 , 867 , 0 , 0 , 3.07 , 1 , 3.09987721846582 , 0.9 , 426 , svt , 0.001222 , 3.07 , 0.408767 , 0.0245047 , 0.001155243604 , 1.86 , 0.3644678 , 0.0355835 , 0.001222 , 3.07 , 0.408767 , 0.0245047 , 0.001211 , 3.09 , 0.4052272 , 0.0243726 , 
1 , 0.375 , 3 , YES , 5 , 10 , OFF , OFF , Sklansky , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1067 , FPMult_unq1 , FPMult , 405 , 35 , 30 , 1070 , 0 , 1067 , 0 , 952 , 0 , 0 , 3.28 , 1 , 20 , 0.9 , 440 , svt , 0.001269 , 3.28 , 0.397941 , 0.0209363 , 0.001199520011 , 1.90 , 0.3542738 , 0.0334171 , 0.001269 , 3.28 , 0.397941 , 0.0209363 , 0.001204 , 3.58 , 0.3912365 , 0.0202199 , 
1 , 0.375 , 3 , YES , 5 , 10 , OFF , OFF , Sklansky , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1069 , FPMult_unq1 , FPMult , 387 , 36 , 30 , 1072 , 0 , 1069 , 0 , 955 , 0 , 0 , 3.29 , 1 , 20 , 0.9 , 423 , svt , 0.001269 , 3.29 , 0.3988884 , 0.0210208 , 0.001202518811 , 1.88 , 0.3534105 , 0.0335035 , 0.001269 , 3.29 , 0.3988884 , 0.0210208 , 0.001204 , 3.38 , 0.393131 , 0.0203078 , 
1 , 0.375 , 3 , YES , 5 , 10 , OFF , OFF , Sklansky , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1267 , FPMult_unq1 , FPMult , 408 , 36 , 30 , 1291 , 0 , 1267 , 0 , 1114 , 0 , 0 , 3.31 , 1 , 20 , 0.9 , 444 , svt , 0.001432 , 3.31 , 0.3079962 , 0.0229889 , 0.001374508811 , 2.19 , 0.3658446 , 0.0363828 , 0.001432 , 3.31 , 0.3079962 , 0.0229889 , 0.001345 , 3.37 , 0.3057486 , 0.0219533 , 
1 , 0.375 , 3 , YES , 5 , 10 , OFF , OFF , Sklansky , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1059 , FPMult_unq1 , FPMult , 380 , 34 , 30 , 1062 , 0 , 1059 , 0 , 944 , 0 , 0 , 3.33 , 1 , 20 , 0.9 , 414 , svt , 0.001263 , 3.33 , 0.3946715 , 0.0209721 , 0.001198638011 , 1.88 , 0.3501633 , 0.0334634 , 0.001263 , 3.33 , 0.3946715 , 0.0209721 , 0.001204 , 3.49 , 0.3863658 , 0.0202682 , 
1 , 0.375 , 3 , YES , 5 , 10 , OFF , OFF , Sklansky , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1257 , FPMult_unq1 , FPMult , 414 , 34 , 30 , 1282 , 0 , 1257 , 0 , 1104 , 0 , 0 , 3.35 , 1 , 20 , 0.9 , 448 , svt , 0.001426 , 3.35 , 0.3046013 , 0.0230975 , 0.00137239201 , 2.15 , 0.3635586 , 0.03634 , 0.001426 , 3.35 , 0.3046013 , 0.0230975 , 0.001345 , 3.43 , 0.298214 , 0.0219378 , 
1 , 0.375 , 3 , YES , 5 , 10 , OFF , OFF , Sklansky , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 887 , FPMult_unq1 , FPMult , 377 , 35 , 30 , 887 , 0 , 887 , 0 , 866 , 0 , 0 , 3.42 , 1 , 20 , 0.9 , 412 , svt , 0.001222 , 3.42 , 0.408347 , 0.02411 , 0.001154890804 , 1.87 , 0.3646592 , 0.0357384 , 0.001222 , 3.42 , 0.408347 , 0.02411 , 0.001211 , 3.51 , 0.4073607 , 0.0239444 , 
