top_MultiplierP.MultiplierP.BoothType , top_MultiplierP.MultiplierP.Designware_MODE , top_MultiplierP.MultiplierP.ModifiedBooth , top_MultiplierP.MultiplierP.TreeType , top_MultiplierP.MultiplierP.UseMP , TOP_RP , TOP_VT , TOP_Voltage , COST_Avg_Dyn_Power_mW , COST_Avg_Leak_Power_mW , COST_Cell_Area_mmsq , COST_Clk_Period_nS , COST_Comb_Area_mmsq , COST_Core_Area_mmsq , COST_Mapped_Avg_Dyn_Energy_pJ , COST_Mapped_Avg_Dyn_Power_mW , COST_Mapped_Avg_Leak_Power_mW , COST_Mapped_Cell_Area_mmsq , COST_Mapped_Clk_Period_nS , COST_Mapped_Comb_Area_mmsq , COST_Mapped_Core_Area_mmsq , COST_Mapped_Net_Area_mmsq , COST_Mapped_NonComb_Area_mmsq , COST_Mapped__Area_mmsq , COST_Net_Area_mmsq , COST_NonComb_Area_mmsq , COST_Optimized_Avg_Dyn_Energy_pJ , COST_Optimized_Avg_Dyn_Power_mW , COST_Optimized_Avg_Leak_Power_mW , COST_Optimized_Cell_Area_mmsq , COST_Optimized_Clk_Period_nS , COST_Optimized_Comb_Area_mmsq , COST_Optimized_Core_Area_mmsq , COST_Optimized_Net_Area_mmsq , COST_Optimized_NonComb_Area_mmsq , COST_Routed_Avg_Dyn_Energy_pJ , COST_Routed_Avg_Dyn_Power_mW , COST_Routed_Avg_Leak_Power_mW , COST_Routed_Cell_Area_mmsq , COST_Routed_Clk_Period_nS , COST_Routed_Comb_Area_mmsq , COST_Routed_Core_Area_mmsq , COST_Routed_Net_Area_mmsq , COST_Routed_NonComb_Area_mmsq , COST_Routed__Area_mmsq , COST___Area_mmsq , PERF_Clk_Freq_Ghz , PERF_Mapped_Clk_Freq_Ghz , PERF_Optimized_Clk_Freq_Ghz , PERF_Routed_Clk_Freq_Ghz
1, OFF ,0, Wallace ,0, True , svt ,1,45.504,2.21,0.033804238,0.9164,0.033804238,0.033804238,29.7483,34.998,1.5,0.024816305,0.8001,0.024816305,0.024816305,0,0,0.024816305,0,0,38.6784,45.504,2.21,0.033804238,0.9164,0.033804238,0.033804238,0,0,,,,,,,,,,,,1.091226539,1.24984377,1.091226539,
1, OFF ,0, Wallace ,0, False , svt ,0.8,  ,  ,  ,  ,  ,  ,18.8478,20.942,0.828,0.024797254,1.4865,0.024797254,0.024797254,0,0,0.024797254,  ,  ,25.281,28.09,1.25,0.034378067,1.6322,0.034378067,0.034378067,0,0,,,,,,,,,,,,  ,0.672721157,0.612670016,
1, OFF ,0, Wallace ,0, True , svt ,0.8,28.09,1.25,0.034378067,1.6322,0.034378067,0.034378067,18.8478,20.942,0.828,0.024797254,1.4865,0.024797254,0.024797254,0,0,0.024797254,0,0,25.281,28.09,1.25,0.034378067,1.6322,0.034378067,0.034378067,0,0,,,,,,,,,,,,0.612670016,0.672721157,0.612670016,
1, OFF ,0, Wallace ,0, False , svt ,0.9,  ,  ,  ,  ,  ,  ,23.7483,26.387,1.13,0.024797254,1.0325,0.024797254,0.024797254,0,0,0.024797254,  ,  ,31.8555,35.395,1.72,0.034378067,1.1703,0.034378067,0.034378067,0,0,,,,,,,,,,,,  ,0.968523002,0.854481757,
1, OFF ,0, Wallace ,0, True , svt ,0.9,35.395,1.72,0.034378067,1.1703,0.034378067,0.034378067,23.7483,26.387,1.13,0.024797254,1.0325,0.024797254,0.024797254,0,0,0.024797254,0,0,31.8555,35.395,1.72,0.034378067,1.1703,0.034378067,0.034378067,0,0,,,,,,,,,,,,0.854481757,0.968523002,0.854481757,
1, OFF ,0, Wallace ,0, False , svt ,1,  ,  ,  ,  ,  ,  ,29.3454,32.606,1.53,0.024797254,0.7974,0.024797254,0.024797254,0,0,0.024797254,  ,  ,39.3534,43.726,2.33,0.034378067,0.9143,0.034378067,0.034378067,0,0,,,,,,,,,,,,  ,1.254075746,1.09373291,
1, OFF ,0, Wallace ,0, True , svt ,1,43.726,2.33,0.034378067,0.9143,0.034378067,0.034378067,29.3454,32.606,1.53,0.024797254,0.7974,0.024797254,0.024797254,0,0,0.024797254,0,0,39.3534,43.726,2.33,0.034378067,0.9143,0.034378067,0.034378067,0,0,,,,,,,,,,,,1.09373291,1.254075746,1.09373291,
1, OFF ,0, Wallace ,0, False , svt ,0.8,  ,  ,  ,  ,  ,  ,21.2116,22.328,0.967,0.026609411,1.4815,0.026609411,0.026609411,0,0,0.026609411,  ,  ,25.4885,26.83,1.29,0.034309271,1.6561,0.034309271,0.034309271,0,0,,,,,,,,,,,,  ,0.674991563,0.603828271,
1, OFF ,0, Wallace ,0, True , svt ,0.8,26.83,1.29,0.034309271,1.6561,0.034309271,0.034309271,21.2116,22.328,0.967,0.026609411,1.4815,0.026609411,0.026609411,0,0,0.026609411,0,0,25.4885,26.83,1.29,0.034309271,1.6561,0.034309271,0.034309271,0,0,,,,,,,,,,,,0.603828271,0.674991563,0.603828271,
1, OFF ,0, Wallace ,0, False , svt ,0.9,  ,  ,  ,  ,  ,  ,26.7273,28.134,1.33,0.026609411,1.0329,0.026609411,0.026609411,0,0,0.026609411,  ,  ,32.11665,33.807,1.77,0.034309271,1.1782,0.034309271,0.034309271,0,0,,,,,,,,,,,,  ,0.968147933,0.848752334,
